year,age,sex,enrolment_primary
2018,UNDER 7 YRS,F,18263
2018,7 YRS,MF,36902
2018,7 YRS,F,17952
2018,8 YRS,MF,39000
2018,8 YRS,F,19020
2018,9 YRS,MF,40037
2018,9 YRS,F,19598
2018,10 YRS,MF,40244
2018,10 YRS,F,19701
2018,11 YRS,MF,39276
2018,11 YRS,F,19153
2018,12 YRS,MF,1377
2018,12 YRS,F,643
2018,13 YRS,MF,275
2018,13 YRS,F,136
2018,14 YRS & OVER,MF,25
2018,14 YRS & OVER,F,7
